id,zanr_vana,zanr1,zanr2,zanr3,lliik,liik_vana
415,uuem lastelaul,,,,,
416,etnograafia/siirdevormiline laul,,,,,
417,jutt/uuem rahvalaul,,,,,
418,muistend/regilaul,,,,,
419,jutt/regilaul,,,,,Loitsud
420,,,,,,mardilaul
421,,,,,,Sõimulaulud
422,,,,,,Pillimäng ja tants(?)
423,mäng,,,,,Mängulaulud
424,kombekirjeldus/nõiasõnad/regilaul,,,,,
425,kombekirjeldus/regilaul,,,,,Loitsud
426,kombekirjeldus/siirdevormiline laul,,,,,
427,kombekirjeldus/uuem rahvalaul,,,,,
428,uuem rahvalaul/regilaul,,,,,
429,,,,,,Vastlalaulud
430,,,,,,Lõikuselaul
431,?/regilaul,,,,,
432,muistend,,,,,
433,ll/etn,etnograafia,regilaul,,,Lastelaul
434,pajatus/regilaul,,,,,Loitsud
435,,,,,,Lõikuslaulud
436,,,,,,Sõjalaulud
437,fraseologism,,,,,
438,mäng,,,,,
439,loodushäälend,,,,,
440,Lastelaulud,,,,,
441,,,,,,Vastlalaul
442,,,,,,Kiigelaul
443,,,,,,loodushäälend
444,andmed/uuem rahvalaul,,,,,
445,jutt/loodushäälend,,,,,
446,siirdevormiline laul,,,,,
447,kombekirjeldus/regilaul,,,,,Kalendrilaulud
448,,,,,,Kadrilaulud
449,,,,,,Loitsud ?
450,,,,,,Kosjad
451,,,,,,Jaanilaulud
452,mõistatus/uuem rahvalaul,,,,,
453,rl andm,andmed,,,,
454,labajalalaul/regilaul,,,,,
455,,,,,,Pulmalauludud
456,jutt/regilaul,,,,,Lastelaulud
457,ul/ kirj,uuem rahvalaul,,,,
458,vl par,uuem rahvalaul,,,,
459,kiri/regilaul,,,,,Loitsud
460,kombekirjeldus/muistend/vaimulik rahvalaul,,,,,
461,ringmängulaul,,,,,Lastelaulud
462,muinasjutt/uuem rahvalaul,,,,,
463,etnograafia/muistend,,,,,
464,vanasõna/regilaul,,,,,
465,nõiasõnad/regilaul,,,,,Loitsud
466,ringängulaul,,,,,
467,kombekirjeldus/loodushäälend,,,,,
468,ul/andm,andmed,uuem rahvalaul,,,
469,kombekirjeldus/regilaul,,,,,Lastelaulud
470,uuem rahvalaul/uuem tantsulaul,,,,,
471,naljand/ajalugu/vaimulik rahvalaul,,,,,
472,kombekirjeldus/ringmängulaul,,,,,
473,muistend/siirdevormiline laul,,,,,
474,,,,,,kadrilaul
475,,,,,,Laulumängud(?)
476,,,,,,Talgulaulud
477,jutt/regilaul,,,,,Laulumängud
478,,,,,,Loitsud
479,,,,,,Pulmalaulud?
480,,,,,,lõikuslaul
481,jutt/regilaul,,,,,
482,ringmängulaul,,,,,Laulumängud
483,rmgl,ringmängulaul,,,,
484,,,,,,Omalooming?
485,andmed/regilaul,,,,,Loitsud
486,kombekirjeldus/uuem rahvalaul/regilaul,,,,,Pulmalaulud
487,ringmängulaul,,,,,
488,nõiasõnad/kombekirjeldus,,,,,Loitsud
489,,,,,,Mardilaulud
490,andmed/siirdevormiline laul,,,,,
491,kombekirjeldus/regilaul,,,,,Laulumängud
492,vanasõna ?,,,,,
493,uuem lastelaul,,,,,Lastelaulud
494,,,,,,Kosjalaul
495,,,,,,Pulmalaulud/Lori
496,kombekirjeldus/regilaul,,,,,
497,kombekirjeldus/loodushäälend/regilaul,,,,,
498,kiri/kombekirjeldus/uuem rahvalaul,,,,,
499,,,,,,Jõululaul
500,uuem rahvalaulud,,,,,
501,mõistatus,,,,,
502,kombekirjeldus/ajalugu,,,,,
503,naljand/regilaul,,,,,
504,,,,,,Pulmalaul ?
505,jutt,,,,,
506,kiri/uuem rahvalaul,,,,,
507,,,,,,Omalooming
508,,,,,,muinasjutt/regilaul
509,regilaul/labajalalaul,,,,,
510,ringmängulaul/uuem rahvalaul,,,,,
511,kombekirjeldus,,,,,
