laul_id,zanr_id,jrk,originaal
e000699140000,8,1,uk
e000699170001,2,1,
e000699170001,8,2,
e000699170001,27,3,
e000699190002,8,1,uk
e000699200000,8,1,
e000699200000,27,2,
e000699220000,8,1,uk
e000699250002,8,1,uk
e000699280000,8,1,uk
e000699320000,8,1,uk
e000699360001,8,1,uk
e000699380002,8,1,
e000699410000,8,1,uk
e000699510001,8,1,uk
e000699550002,8,1,
e000699560000,8,1,uk
e000699580000,8,1,uk
e000699610000,8,1,uk
e000699650000,8,1,uk
e000699730000,8,1,
e000699780000,8,1,uk
e000699820000,8,1,uk
e000699830000,8,1,uk
e000699890000,8,1,uk
e000699920000,8,1,uk
e000699960001,20,1,Rl/ul
e000700000001,8,1,uk
e000700040001,8,1,uk
e000700060002,8,1,uk
e000700100000,8,1,Uk/rl/ul
e000700100000,20,2,Uk/rl/ul
e000700140001,8,1,uk
e000700170001,8,1,uk
e000700210001,8,1,uk
e000700280000,8,1,uk
e000700340000,8,1,Ul/uk
e000700340000,22,2,Ul/uk
e000700370000,8,1,uk
e000700400001,8,1,
e000700450000,8,1,uk
e000700480000,8,1,uk
e000700500000,8,1,uk
e000700550001,8,1,
e000700580002,8,1,uk
e000700600000,8,1,uk
e000700640000,8,1,uk
e000700680000,8,1,uk
e000700720001,8,1,uk
e000700740002,8,1,uk
e000700760000,8,1,uk
e000701990000,8,1,Uk/rl
e000701990000,27,2,Uk/rl
e000705690007,20,1,Ul/rl
e000707160002,8,1,Uk/rl
e000707160002,27,2,Uk/rl
e000707170003,8,1,uk
e000707180004,8,1,uk
e000712060001,22,1,
e000712420001,22,1,Ul
e000715260021,10,1,lh
e000718540054,22,1,Ul
e000718540055,22,1,Ul
e000723650000,8,1,
